shape_signature,dtype,head_size,block_size,num_seqs,total_q,max_seqlen_q,max_seqlen_k,sliding_window,triton_latency_ms,rocke_latency_ms,speedup_triton_over_ckdsl,rocke_correct_max_abs,rocke_policy,cap_blocks
d64_b32_h64kv8_q6418_k10333_ns195_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,195,8192,6418,10333,128,0.11065520048141479,0.10088310241699219,1.0969,0.007812,production_dispatch,131072
d64_b32_h64kv8_q6301_k10348_ns207_tq8192_sw0_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,207,8192,6301,10348,0,2.3386335372924805,2.6765974044799803,0.8737,0.000488,production_dispatch,131072
d64_b32_h64kv8_q3996_k10364_ns220_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,220,8192,3996,10364,128,0.10476315021514893,0.1016431450843811,1.0307,0.003906,production_dispatch,131072
d64_b32_h64kv8_q4470_k10379_ns232_tq8192_sw0_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,232,8192,4470,10379,0,3.0307052612304686,3.418733596801758,0.8865,0.000244,production_dispatch,131072
d64_b32_h64kv8_q7174_k10395_ns245_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,245,8192,7174,10395,128,0.11365524530410767,0.10094109773635865,1.126,0.007812,production_dispatch,131072
d64_b32_h64kv8_q7937_k10410_ns256_tq8192_sw0_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,256,8192,7937,10410,0,1.7735115051269532,2.1120512008666994,0.8397,0.000488,production_dispatch,131072
d64_b32_h64kv8_q4716_k10999_ns254_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,254,8192,4716,10999,128,0.10261310338973999,0.09757704734802246,1.0516,0.003906,production_dispatch,131072
d64_b32_h64kv8_q4095_k10999_ns253_tq8192_sw0_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,253,8192,4095,10999,0,2.855357360839844,3.3104503631591795,0.8625,0.000244,production_dispatch,131072
d64_b32_h64kv8_q7035_k10998_ns252_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,252,8192,7035,10998,128,0.10881520509719848,0.09950309991836548,1.0936,0.003906,production_dispatch,131072
d64_b32_h64kv8_q5862_k10999_ns252_tq8192_sw0_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,252,8192,5862,10999,0,2.476803207397461,2.9217721939086916,0.8477,0.000244,production_dispatch,131072
d64_b32_h64kv8_q6757_k10999_ns252_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,252,8192,6757,10999,128,0.1070531964302063,0.08925294876098633,1.1994,0.007812,production_dispatch,131072
d64_b32_h64kv8_q7942_k10999_ns251_tq8192_sw0_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,251,8192,7942,10999,0,1.8742286682128906,2.260186767578125,0.8292,0.000488,production_dispatch,131072
d64_b32_h64kv8_q4447_k10999_ns251_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,251,8192,4447,10999,128,0.10476914644241334,0.0897130012512207,1.1678,0.003906,production_dispatch,131072
d64_b32_h64kv8_q5358_k10999_ns251_tq8192_sw0_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,251,8192,5358,10999,0,2.542145919799805,2.9398704528808595,0.8647,0.000244,production_dispatch,131072
d64_b32_h64kv8_q6274_k10999_ns251_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,251,8192,6274,10999,128,0.10450714826583862,0.08931699991226197,1.1701,0.007812,production_dispatch,131072
d64_b32_h64kv8_q6636_k10999_ns251_tq8192_sw0_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,251,8192,6636,10999,0,2.2501087188720703,2.6205368041992188,0.8586,0.000244,production_dispatch,131072
d64_b32_h64kv8_q7771_k10999_ns251_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,251,8192,7771,10999,128,0.10822119712829589,0.09145100116729736,1.1834,0.003906,production_dispatch,131072
d64_b32_h64kv8_q6987_k10999_ns250_tq8192_sw0_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,250,8192,6987,10999,0,2.1503215789794923,2.5631601333618166,0.8389,0.000488,production_dispatch,131072
d64_b32_h64kv8_q5860_k10999_ns250_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,250,8192,5860,10999,128,0.10484515428543091,0.09965710043907165,1.0521,0.007812,production_dispatch,131072
