shape_signature,dtype,head_size,block_size,num_seqs,total_q,max_seqlen_q,max_seqlen_k,sliding_window,triton_latency_ms,rocke_latency_ms,speedup_triton_over_ckdsl,rocke_correct_max_abs,rocke_policy,cap_blocks
d64_b32_h64kv8_q1000_k1016_ns133_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,133,8192,1000,1016,0,0.3563481092453003,0.3239999055862427,1.0998,0.003906,production_dispatch,65536
d64_b32_h64kv8_q1000_k1017_ns141_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,141,8192,1000,1017,128,0.10137959718704223,0.10978465080261231,0.9234,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1017_ns141_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,141,8192,1000,1017,0,0.3764967441558838,0.3336289405822754,1.1285,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1018_ns149_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,149,8192,1000,1018,128,0.10546612739562988,0.10788064002990723,0.9776,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1018_ns149_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,149,8192,1000,1018,0,0.3952588319778442,0.3465895414352417,1.1404,0.003906,production_dispatch,65536
d64_b32_h64kv8_q1000_k1019_ns157_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,157,8192,1000,1019,128,0.10967814922332764,0.10750362873077393,1.0202,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1019_ns157_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,157,8192,1000,1019,0,0.4137904167175293,0.35917708873748777,1.1521,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1020_ns165_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,165,8192,1000,1020,128,0.11475417613983155,0.11316015720367431,1.0141,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1020_ns165_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,165,8192,1000,1020,0,0.4382805824279785,0.3717566967010498,1.1789,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1021_ns173_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,173,8192,1000,1021,128,0.11388267278671264,0.10895963907241821,1.0452,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1021_ns173_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,173,8192,1000,1021,0,0.4312185287475586,0.345943546295166,1.2465,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1022_ns181_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,181,8192,1000,1022,128,0.10809613466262817,0.11247466802597046,0.9611,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1022_ns181_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,181,8192,1000,1022,0,0.3946038484573364,0.3358644723892212,1.1749,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1023_ns189_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,189,8192,1000,1023,128,0.10882713794708251,0.11393717527389527,0.9552,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1023_ns189_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,189,8192,1000,1023,0,0.3959038257598877,0.3446935176849365,1.1486,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1024_ns197_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,197,8192,1000,1024,128,0.11060714721679688,0.11434966325759888,0.9673,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1024_ns197_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,197,8192,1000,1024,0,0.40268383026123045,0.3527460813522339,1.1416,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1025_ns205_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,205,8192,1000,1025,128,0.11805468797683716,0.2762830018997192,0.4273,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1025_ns205_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,205,8192,1000,1025,0,0.4199035167694092,0.3656801462173462,1.1483,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1026_ns213_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,213,8192,1000,1026,128,0.12486873865127564,0.11535868644714356,1.0824,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1026_ns213_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,213,8192,1000,1026,0,0.44155011177062986,0.3774142265319824,1.1699,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1027_ns221_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,221,8192,1000,1027,128,0.1276567578315735,0.11690869331359863,1.0919,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1027_ns221_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,221,8192,1000,1027,0,0.45623321533203126,0.3868712425231934,1.1793,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1028_ns229_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,229,8192,1000,1028,128,0.12399872541427612,0.11334016323089599,1.094,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1028_ns229_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,229,8192,1000,1028,0,0.4653297424316406,0.3985303401947021,1.1676,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1029_ns237_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,237,8192,1000,1029,128,0.1325382709503174,0.11705318689346314,1.1323,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1029_ns237_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,237,8192,1000,1029,0,0.48883638381958006,0.41332197189331055,1.1827,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1030_ns245_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,245,8192,1000,1030,128,0.13262077569961547,0.12030571699142456,1.1024,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1030_ns245_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,245,8192,1000,1030,0,0.5022024631500244,0.42295498847961427,1.1874,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1031_ns253_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,253,8192,1000,1031,128,0.11523717641830444,0.11166914701461791,1.032,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1031_ns253_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,253,8192,1000,1031,0,0.41674346923828126,0.3610781192779541,1.1542,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1032_ns261_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,261,8192,1000,1032,128,0.1123011589050293,0.11137465238571168,1.0083,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1032_ns261_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,261,8192,1000,1032,0,0.3889802932739258,0.33980350494384765,1.1447,0.001953,production_dispatch,65536
